arg1	arg2	label	graph
Cannabis should be legal.	It's not a bad thing to make marijuana more available.	support	(cannabis; synonym of; marijuana)(legal; causes; more available)(marijuana; capable of; good thing)(good thing; desires; legal)
Women should not be in combat.	Women and men have the same rights.	counter	(women and men; is a; citizens)(citizens; causes; have same rights)(have same rights; causes; women)(women; capable of; help the country)(help the country; desires; be in combat)
People will use marijuana independent of its legal status.	People use marijuana everywhere now.	support	(marijuana; receives action; popular)(popular; used for; people)(people; at location; everywhere)
women should not partake in war	the armed forces are more open to recruiting women candidates	counter	(armed forces; desires; nurses and helpers)(nurses and helpers; made of; women)(women; causes; more open)(more open; has subevent; recruiting women candidates)(recruiting women candidates; capable of; partake in war)
Marijuana should not be legalized.	Marijuana is dangerous for society.	support	(marijuana; is a; recreational drug)(recreational drug; capable of; drug addiction)(drug addiction; is a; dangerous for society)(dangerous for society; not desires; legalized)
countries should ban the use of marijuana	everyone has the right to choose what to smoke.	counter	(everyone; receives action; has the right)(has the right; desires; choose)(choose; has subevent; what to smoke)(use of marijuana; is a; what to smoke)(what to smoke; not desires; ban)
women should not be in combat.	Women and men are different.	support	(combat; desires; physical capabilities)(physical capabilities; part of; men)(men; has property; testosterone)(testosterone; not part of; women)(women; is a; different)
Marijuana sales contributes to the black market and a whole set of crimes.	Serious crimes might be avoided if people end up not buying marijuana from criminals, it might even make people not be killed.	support	(marijuana; capable of; being legalized)(being legalized; used for; prevention)(prevention; used for; serious crimes)(serious crimes; created by; sales)(sales; created by; criminals)
Cannabis should be legalized.	Cannabis legalization increases safety.	support	(cannabis legalization; has subevent; government oversight)(government oversight; causes; safety)(safety; has subevent; responsible cannabis use)(responsible cannabis use; desires; should be legalized)(cannabis; has property; medical use)(medical use; has context; cannabis legalization)
Legalizing cannabis will lower crime.	Cannabis can be good and help a lot of medical conditions.	support	(cannabis; capable of; improving health condition)(improving health condition; part of; medical conditions)(improving health condition; desires; legalizing)(legalizing; capable of; reduction in crime)
Women shouldn't be prohibited in combat	Opportunities should be universal	support	(opportunities; created by; the military)(the military; has subevent; combat)(women; desires; opportunities)(combat; has property; universal)(universal; desires; women and men)(women and men; desires; equal treatment)(equal treatment; not desires; prohibited)
Marijuana should not be legalized	Legalizing marijuana is something that public health officials should not oppose	counter	(marijuana; capable of; health benefit)(health benefit; created by; public health officials)(health benefit; receives action; legalized)
Women should be in combat.	Women and men are different.	counter	(women and men; has context; biological sex)(biological sex; has context; different)(different; not has subevent; combat)(combat; desires; physical strength)(physical strength; not has context; women)(women; receives action; protect from violence)
Women should be allowed in military combat.	Females as soldiers should be acceptable.	support	(women; capable of; strength)(strength; used for; soldiers)(soldiers; capable of; military combat)(women; synonym of; females)
Women's combat skills shouldn't be stifled since some women are more skilled at combat than men.	There are men who are soft hearted	support	(women; capable of; hard hearted)(hard hearted; used for; combat skills)(combat skills; created by; people)(people; part of; men)(hard hearted; antonym of; soft hearted)
women should be allowed in combat.	Many women are in combat.	support	(women; capable of; strength)(strength; used for; combat)(combat; receives action; allowed)
Women should be prohibited in combat.	Combat sports are not good to women, they shouldn't be allowed to do so because it's likely that they can't get pregnant in the future.	support	(combat; capable of; harm)(harm; used for; women)(women; capable of; pregnant)(harm; receives action; prohibited)
Women should not be in combat.	Women and men have equal rights.	counter	(women; antonym of; men)(men; capable of; strength)(strength; used for; combat)
Cannabis is helpful, and people should be allowed to use it.	Cannabis is the choice of many people for ailments.	support	(ailments; desires; treatments)(treatments; has context; cannabis)(cannabis; has property; natural)(natural; desires; allowed to use)(allowed to use; is a; benefit to society)(benefit to society; has property; helpful)
Women should not be in combat.	Women and men have differences.	support	(women; capable of; sensitive)(sensitive; not capable of; combat)(men; capable of; combat)
cannabis should stay illegal.	cannabis makes sick patients less painful.	counter	(cannabis; used for; sick patients)(sick patients; has context; expensive prescriptions)(expensive prescriptions; causes; financial troubles)(financial troubles; has context; cancer treatments)(cancer treatments; desires; less painful)(less painful; not desires; illegal)
Women and Men should have the same opportunities, including combat.	A soldier is a soldier.	support	(women and men; used for; soldier)(soldier; desires; same opportunities)(same opportunities; at location; military)(military; not made of; a soldier)(a soldier; antonym of; many soldiers)(many soldiers; desires; diverse applicants)(diverse applicants; capable of; combat)
cannabis should not be legal	Cannabis is a harmful drug.	support	(cannabis; is a; harmful drug)(harmful drug; not desires; legal)(harmful drug; causes; addiction)
Women should be allowed to be in combat.	Women and men are the same.	support	(women and men; is a; humans)(humans; is a; same)(same; causes; women)(women; capable of; do men's work)(do men's work; desires; be allowed)(be allowed; receives action; fight in war)
Women should not be in combat.	Women and men have the same abilities.	counter	(women and men; has property; same intelligence)(same intelligence; capable of; same abilities)(same abilities; causes; women)(women; capable of; do men's jobs)(do men's jobs; desires; be in combat)
Marijuana should not be legalized.	Marijuana helps cancer patients.	counter	(marijuana; has property; health benefits)(health benefits; used for; cancer patients)(health benefits; receives action; legal)(legal; part of; legalized)
algorithmic trading is more efficient.	algorithmic trading is faster than other technologies.	support	(algorithmic trading; is a; new innovation)(new innovation; part of; technologies)(technologies; has property; more efficient)(more efficient; not made of; other technologies)
Legalizing cannabis will make the product safer.	Cannabis can be used for good in a lot of situations.	support	(cannabis; capable of; good)(cannabis; desires; regulation)(regulation; capable of; legalizing)
algorithmic trading benefits traders.	Algorithmic trading messes up the trading systems.	counter	(algorithmic trading; causes; high frequency trading)(high frequency trading; capable of; messes up)(messes up; has context; trading systems)(trading systems; causes; losses to traders)(losses to traders; not capable of; benefits traders)
Cannabis is great for medicinal purposes.	Cannabis can help reduce pain ailments.	support	(cannabis; has property; health benefits)(health benefits; used for; reduce pain ailments)(reduce pain ailments; part of; medicinal purposes)(medicinal purposes; created by; marijuana)
Cannabis can be an effective medication.	It is not good for people with a disability to use cannabis.	counter	(not good; used for; people with disability)(cannabis; capable of; unknown effects)(unknown effects; causes; not good)(people with disability; receives action; use cannabis)(use cannabis; not capable of; effective medication)
Algorithmic trading is more efficient for trading.	Algorithmic trading is faster than other trading methods.	support	(algorithmic trading; is a; faster)(algorithmic trading; is a; automated)(faster; capable of; more efficient)
Cannabis is good.	Cannabis shows promise as treatment though it must be studied heavily.	support	(cannabis; capable of; health benefits)(health benefits; part of; treatments)(treatments; has context; good)(health benefits; receives action; studied heavily)
Cannabis should be legalized.	Cannabis legalization has little impact on those who abstain.	support	(those who abstain; has context; little impact)(cannabis; not used for; those who abstain)(little impact; has subevent; should be legalized)
algorithmic trading should not be banned.	Algorithmic trading is used by many.	support	(algorithmic trading; is a; automated)(algorithmic trading; is a; used by many)(used by many; synonym of; popular)(popular; not desires; banned)
Cannabis should be legal.	Cannabis should not be legalized.	counter	(cannabis; has property; psychotropic drug)(psychotropic drug; has subevent; gateway to addiction)(gateway to addiction; not desires; should be legal)(should be legal; has subevent; increased drug addiction)(increased drug addiction; desires; not be legalized)
Algorithmic trading should not be banned.	Many people trade via algorithmic trading.	support	(many people; desires; algorithmic trading)(algorithmic trading; capable of; democratize stock market)(democratize stock market; not desires; banned)
legalizing weed will stop the propaganda against it	legal weed will bring in new tax revenue	support	(legalizing weed; capable of; increasing)(increasing; used for; tax revenue)(tax revenue; capable of; stop propaganda)(stop propaganda; used for; weed)
Algorithms for trading are a positive.	Algorithms for trading have high accuracy.	support	(algorithms for trading; capable of; high accuracy)(algorithms for trading; is a; automated)(high accuracy; is a; positive)
Weed businesses would generate greater tax revenue.	Cannabis businesses pay taxes and therefore the legalization would add more tax revenue.	support	(weed businesses; capable of; increase revenue)(increase revenue; created by; tax revenue)(increase revenue; receives action; legalization)
algorithm aren't 100% accurate.	algorithms can predict but don't reflect the situation.	support	(algorithms; part of; artificial intelligence)(artificial intelligence; not capable of; accurate)(accurate; not receives action; reflect the situation)(reflect the situation; used for; algorithm)
Algorithms are good for investing	Algorithms have been used in the past for great investing returns.	support	(algorithms; receives action; follow computer rules)(follow computer rules; has property; fast and accurate)(fast and accurate; receives action; used in past)(used in past; used for; great investing returns)(great investing returns; causes; good for investing)
algorithmic training gets a better return	algorithmic training does not always have a greater return	counter	(algorithmic training; has property; inefficiency)(inefficiency; not part of; greater return)(greater return; synonym of; better return)
cannabis should be freely available	Some studies say that long term cannabis use could be harmful to the brain	counter	(brain; not desires; drug use)(drug use; not desires; freely available)(freely available; causes; cannabis use)(cannabis use; capable of; long term use)(long term use; has property; harmful)(harmful; has context; studies)(studies; has context; cannabis)
If people are allowed to use cannabis, which is a gateway drug, it's steering them towards lifelong addictions.	Many people's first drug is cannabis.	support	(cannabis; has property; first drug)(first drug; has context; gateway drug)(gateway drug; has context; many people's first)(many people's first; has subevent; lifelong addictions)(lifelong addictions; has context; blight on society)(blight on society; not desires; allowed to use)
algorithmic trading is a positive.	Algorithmic trading makes more money.	support	(algorithmic trading; used for; more income)(more income; part of; more money)(more money; is a; positive)
Algorithmic trading will help boost the economy	Algorithmic trading can help increase jobs.	support	(algorithmic trading; capable of; new innovations)(new innovations; has property; help increase jobs)(help increase jobs; capable of; boost the economy)(boost the economy; at location; country)
If Cannabis is legalized they may start to use other drugs that are worse.	Some people will see that it is safe to use cannabis so they will start to use other drugs.	support	(cannabis; capable of; being legal)(being legal; causes; use other drugs)(use other drugs; causes; abuse drugs)(abuse drugs; created by; legalized)
Algorithmic trading is a positive for society.	Algorithmic trading increases trading flow.	support	(algorithmic trading; created by; fast computer instructions)(fast computer instructions; capable of; increases trading flow)(increases trading flow; capable of; increases trading profits)(increases trading profits; is a; positive for society)
Cannabis can be beneficial to people	Cannabis can be a bad way to not help lots of people.	counter	(cannabis; not capable of; help)(cannabis; capable of; harmful)(harmful; antonym of; beneficial)
Cannabis is benign.	Cannabis can make people lazy.	counter	(cannabis; used for; addiction)(addiction; capable of; make people lazy)(make people lazy; is not a; benign)
algorithmic trading minimize rash, emotional decisions by investors	risky investing will be harder under an algorithm	support	(algorithm; not causes; risky investing)(risky investing; created by; rash emotional decisions)(rash emotional decisions; causes; market disruptions)(market disruptions; created by; human investors)(human investors; not capable of; algorithmic trading)
Marijuana creates jobs.	The cannabis industry creates employment opportunities.	support	(cannabis industry; capable of; creates jobs)(creates jobs; synonym of; creates employment opportunities)(creates employment opportunities; has subevent; improves economy)(improves economy; causes; wealth in society)(wealth in society; created by; marijuana)(marijuana; synonym of; cannabis)
glitches cause problems	you have to take care of glitches if you want to keep the problems away.	support	(glitches; capable of; issues)(issues; synonym of; problems)(issues; desires; take care of)(take care of; synonym of; solve)
algorithmic trading should no longer be allowed	algorithmic trading is bad for those who are not educated.	support	(algorithmic trading; not used for; not educated)(not educated; has subevent; bad financial decisions)(bad financial decisions; causes; people go broke)(people go broke; capable of; destroy life)(destroy life; not desires; allowed)
The legalization of marijuana would create jobs, therefore reducing unemployment.	We wouldn't legalize other drugs for jobs.	counter	(marijuana; part of; drugs)(drugs; part of; high)(high; causes; laziness)(laziness; causes; unemployment)(unemployment; not capable of; create jobs)(create jobs; desires; wouldn't legalize)
algorithmic trading should be banned.	algorithmic trading should not be banned.	counter	(algorithmic trading; has property; legal)(legal; part of; moral)(moral; not receives action; banned)
algorithmic trading should be banned	algorithmic trading is new and exciting	counter	(algorithmic trading; is a; new idea)(new idea; capable of; exciting)(exciting; not receives action; banned)
Autonomous cars should be banned because glitches may cause them to malfunction, which is very dangerous considering that human lives are being transported.	There have been computer glitches in the past that caused global problems after a simple glitch in an update.	support	(programming error; synonym of; malfunction)(dangerous; desires; no autonomous cars)(malfunction; causes; global problems)(global problems; created by; simple glitch)(autonomous cars; made of; automated computer systems)(automated computer systems; has subevent; simple glitch)(autonomous cars; capable of; programming error)(simple glitch; is a; dangerous)
we should make allowance for glitches.	glitches delay progress and cause problems.	counter	(computers; has property; glitches)(glitches; causes; delay progress)(delay progress; not desires; allowance)(allowance; has subevent; cause problems)(cause problems; has subevent; loss of resources)(loss of resources; not desires; should make allowance)
Algorithmic trading shouldn't be banned.	It will be of great harm of companies if that kind of trading is permitted. Its prohibition is a correct move.	counter	(harm of companies; created by; replace human brokers)(replace human brokers; has context; algorithmic trading)(algorithmic trading; causes; great harm)(great harm; created by; unfair advantage)(unfair advantage; desires; banned)
algorithmic trading should not be used.	Algorithmic trading is not just.	support	(algorithmic trading; is not a; equal)(equal; part of; just)(just; not receives action; used)
Algorithms are not great for markets.	Algorithms are efficient.	counter	(algorithms; has property; efficient)(efficient; is a; great for markets)(great for markets; causes; economic growth)(economic growth; causes; stability)
The use of recreational weed may increase DUI deaths.	The use of recreational weeds should be banned as the mortality rate is likely to increase.	support	(use of; has context; recreational weeds)(recreational weeds; causes; addiction)(addiction; capable of; use before driving)(use before driving; causes; accidents)(accidents; causes; increase dui deaths)(increase dui deaths; causes; mortality rate)(mortality rate; receives action; increase)
algorithmic trading is revolutionary.	Algorithmic trading does not harm markets.	support	(algorithmic trading; is a; new technology)(new technology; part of; revolutionary)(revolutionary; not capable of; harm markets)
Cannabis should be legalized.	Most people use cannabis anyways.	support	(cannabis; used for; smoking)(smoking; capable of; relaxation)(relaxation; used for; most people)(most people; desires; legalized)
Algorithm training is unfair because not everyone has access to it.	People shouldn't be forced to stop using algorithm training because it's not fair to expect companies to stop using technology just because other companies don't have access to it.	counter	(algorithm training; used for; companies)(companies; has property; innovation)(innovation; not part of; unfair)(unfair; not used for; technology)
Marijuana should be legally permissible, as it is proven to have medical benefits and can give relief against pain.	While there are some benefits, allowing smoke into your lungs is dangerous and there are other ways to alleviate pain.	counter	(your lungs; capable of; allowing smoke into)(allowing smoke into; causes; illness)(illness; not desires; un regulated treatment)(un regulated treatment; has context; marijuana)(marijuana; has subevent; damage to lungs)(damage to lungs; causes; lung cancer)(lung cancer; causes; pain)(pain; not desires; marijuana legally permissible)
algorithmic trading is not just.	Many people get an advantage with algorithmic trading.	support	(algorithmic trading; used for; many people)(many people; desires; importance)(importance; part of; advantages)(advantages; is not a; just)
cannabis can alleviate pain and suffering if prescribed properly.	some people abuse the use of cannabis.	counter	(cannabis; is a; drug)(drug; capable of; abuse)(cannabis; capable of; abuse)(pain and suffering; causes; abuse)
Algorithmic trading is not fair.	Algorithmic trading gives some an advantage.	support	(trading; desires; free of bias)(free of bias; not part of; algorithmic trading)(algorithmic trading; has property; an advantage)(an advantage; created by; computing of probabilities)(computing of probabilities; has property; speed)(speed; part of; not fair)
marijuana legalization should not be done.	Marijuana would be dangerous to legalize	support	(marijuana; has property; dangerous)(dangerous; not has subevent; legalization)(legalization; causes; increased drug use)(increased drug use; desires; not be done)
A gateway drug is the start to more dangerous substances	gateway drugs come before more serious ones.	support	(gateway drug; synonym of; drugs)(drugs; capable of; more dangerous substances)(more dangerous substances; capable of; more serious)(more dangerous substances; causes; addiction)
Using computers to trade has bad consequences.	Computers can be hacked.	support	(algorithms; has context; trade)(trade; has context; stock market)(stock market; receives action; high security level)(high security level; not desires; hacked)(hacked; is a; bad consequences)(computers; has context; algorithms)
algorithmic trading needs to be banned.	Algorithmic trading leads to instability.	support	(algorithmic trading; capable of; instability)(algorithmic trading; is a; automated)(instability; desires; banned)
Algorithmic trading should be banned, because it causes crashes and insider trading.	all trading can used wisely	counter	(financial automation; has context; algorithmic trading)(algorithmic trading; capable of; used wisely)(used wisely; not causes; crashes)(crashes; desires; avoided)(avoided; causes; market prospers)(market prospers; not desires; banned)(banned; not part of; all trading)
Trading with algorithms is not the best for markets.	Algorithms have made trading easier.	counter	(algorithms; capable of; made trading easier)(made trading easier; capable of; best for markets)(algorithms; capable of; automation)
algorithmic trading is not always fair.	There are other trading methods to use.	support	(trading methods; has property; plenty)(plenty; part of; algorithmic trading)(algorithmic trading; part of; methods)(methods; not capable of; always fair)
cannabis should be legalized	cannabis legalization will still lead to abuse of drugs	counter	(cannabis; receives action; addiction)(addiction; used for; abuse of drugs)(abuse of drugs; not receives action; legalized)
Cannabis needs to be legal since its use is very widespread.	People medicate with cannabis	support	(people; desires; medicate)(cannabis; capable of; medicate)(medicate; desires; legal)
algorithmic trading is not always reliable.	Algorithmic trading is a faster way of trading.	counter	(algorithmic trading; has property; efficient)(efficient; created by; faster way)(faster way; used for; trade)(trade; capable of; reliable)
Cannabis should be legal.	Cannabis can cause brain issues.	counter	(cannabis; capable of; high)(high; created by; smoke inhalation)(smoke inhalation; made of; chemicals)(chemicals; capable of; brain issues)(brain issues; not desires; be legal)
cannabis should be legalized.	cannabis can be both medical and recreational.	support	(cannabis; has property; medical and recreational)(medical and recreational; causes; various positive benefits)(various positive benefits; desires; legalized)
Algorithmic trading is helpful in cost reduction.	Algorithmic trading is practical because it reduces cost.	support	(algorithmic trading; has property; efficient)(efficient; created by; reduces cost)(reduces cost; has property; helpful)
Marijuana should be legalized.	Marijuana usage makes people lazy.	counter	(marijuana; causes; laziness)(laziness; part of; lazy)(lazy; not receives action; legalized)
Since the use of cannabis has been linked with mental health issues in kids, it shouldn't be legalized.	Mental health should never be overlooked.	support	(health and wellness; has context; use of cannabis)(use of cannabis; not desires; overlooked)(overlooked; has subevent; mental health issues)(mental health issues; has context; drug abuse)(drug abuse; has context; kids)(kids; desires; never be overlooked)(never be overlooked; causes; shouldn't be legalized)
cannabis shouldn't be legalized for health reasons	cannabis use improved cancer patients life expectancy	counter	(legalized; has context; allowed)(allowed; not has context; bad)(cannabis; not has context; bad)(cannabis; causes; improved life expectancy)(cancer patients; desires; improved life expectancy)
algorithmic trading should be banned.	Many firms rely on algorithmic trading.	counter	(firms; has context; brokerage)(brokerage; used for; stock market)(stock market; has context; algorithmic trading)(algorithmic trading; has property; great specificity)(great specificity; has subevent; stable market)(stable market; not desires; should be banned)(firms; has subevent; rely)(rely; has context; algorithmic trading)
Cannabis should not be legalized.	Cannabis can cause health issues.	support	(health issues; created by; cannabis)(cannabis; has property; bad for lungs)(bad for lungs; created by; smoke inhalation)(smoke inhalation; causes; cancer)(health issues; has context; cancer)(cancer; not desires; legalized)
Cannabis should not be legalized.	Most people use cannabis.	counter	(most people; has property; cancer)(cancer; desires; alleviate pain)(alleviate pain; created by; use)(use; has context; cannabis)(cannabis; has context; in approved ways)(in approved ways; synonym of; legalized)
Algorithmic trading is confusing, and since most people don't know if they're being treated fairly, it should be banned.	People don't want to lose money because they don't understand.	support	(don't understand; synonym of; confusing)(confusing; has context; stock market)(stock market; receives action; algorithmic trading)(algorithmic trading; causes; lose money)(lose money; not has property; being treated fairly)(being treated fairly; desires; human interaction)
Studies have shown that cannabis is a gateway drug, and that cannabis users end up using stronger drugs, like opioids, cocaine, and heroin.	Cannabis is cheaper and easier to start with	support	(cannabis; is a; cheaper and easier)(cheaper and easier; capable of; gateway drug)(gateway drug; capable of; escalation)(escalation; capable of; stronger drugs)(stronger drugs; capable of; addiction)
Algorithmic trading should be banned.	Algorithmic trading is useful to many traders.	counter	(algorithmic trading; created by; automated pre-programmed trading)(automated pre-programmed trading; is a; fast and accurate)(fast and accurate; causes; useful)(useful; used for; traders)(traders; not desires; banned)
cannabis is a gateway drug.	cannabis has medical benefits.	counter	(cannabis; has property; health benefit)(health benefit; part of; medical benefits)(medical benefits; has property; good drugs)(good drugs; not part of; gateway drug)
Algorithmic trading is more efficient.	Algorithmic trading is more precise.	support	(algorithm; has property; precise)(precise; synonym of; efficient)(efficient; used for; trading stock)(trading stock; has context; algorithmic trading)(algorithmic trading; desires; large scale implementation)
Cannabis is good for a healthy body, and should be legalized.	Some diseases can't be controlled without cannabis.	support	(cannabis; capable of; medication)(medication; used for; pain)(pain; created by; diseases)(diseases; part of; people)(people; desires; legalized)
Algorithmic trading  is a positive.	Algorithmic trading causes issues.	counter	(algorithmic trading; capable of; causes issues)(algorithmic trading; capable of; automation)(causes issues; antonym of; a positive)
Cannabis should be legalized.	Cannabis is legal in some states.	support	(cannabis; desires; regulation)(cannabis; capable of; beneficial)(regulation; desires; legalized)(legalized; synonym of; legal)
Algorithmic trading is more efficient.	Algorithmic trading makes little mistakes.	support	(little mistakes; synonym of; acceptable error margin)(acceptable error margin; part of; more efficient)(more efficient; has subevent; more market growth)(more market growth; created by; algorithmic trading)
Cannabis should be legalized.	When cannabis is legal, there is less conflict.	support	(when; has subevent; people suffer pain)(people suffer pain; desires; cannabis)(cannabis; desires; legal)(legal; causes; less conflict)(less conflict; desires; legalized)
Cannabis legalization should not happen.	Most people use cannabis anyways.	counter	(most people; has property; use cannabis)(use cannabis; desires; legalization)(legalization; causes; prove cannabis' usefulness)(prove cannabis' usefulness; not desires; should not happen)
Algorithmic trading isn't fair to the market.	Any trading can be used wisely	counter	(algorithmic trading; part of; any trading)(any trading; capable of; used by anyone)(used by anyone; used for; used wisely)(used wisely; is a; fair)(fair; at location; stock market)
If cannabis is legalized, more young people can get it, and then start using more dangerous things.	Kids experiment with drugs.	support	(cannabis; is a; drugs)(drugs; used for; people)(people; desires; legalized)(legalized; causes; more accessible)(more accessible; causes; kids experiment)(kids experiment; capable of; gateway drug)(gateway drug; causes; more dangerous things)
Cannabis should not be legalized.	Cannabis makes people lazy.	support	(cannabis; causes; people lazy)(people lazy; capable of; poor health)(poor health; not desires; be legalized)
A tool available is algorithmic trading.	Computers can make predictions about stocks.	support	(computers; used for; predictions)(predictions; created by; algorithmic trading)(algorithmic trading; has context; stocks)(stocks; has property; difficult to predict)(difficult to predict; desires; a tool)
cannabis should be not be legalized.	not all cannabis are used in a wrongful way.	counter	(cannabis; not desires; wrongful way)(wrongful way; capable of; helpful)(helpful; desires; be legalized)
Algorithmic trading is more efficient.	Algorithmic trading is gaining more popularity.	support	(algorithmic trading; has context; automating stock trades)(automating stock trades; has property; more efficient)(more efficient; desires; less human error)(less human error; causes; more profitability)(more profitability; has subevent; gaining more popularity)
legalizing cannabis as far as health is concerned can be beneficial.	cannabis is not about addiction in medical care.	support	(cannabis; not has context; addiction)(addiction; has context; health)(health; desires; medical care)(medical care; desires; legalizing cannabis)(legalizing cannabis; causes; innovations in treatment)
Algorithmic trading enhances trading.	Algorithmic trading gives more options.	support	(algorithmic trading; is a; automated)(algorithmic trading; capable of; gives more options)(gives more options; capable of; enhances trading)
algorithmic trading is more efficient	algorithmic trading is the future that will advance the field	support	(algorithmic; created by; algorithms)(algorithms; used for; artificial intelligence)(artificial intelligence; capable of; patterns)(patterns; causes; efficient)(efficient; used for; trading)(trading; part of; future)
Cannabis is used to treat some diseases, so it's beneficial and should be legalized.	People with illnesses want to feel better.	support	(cannabis; used for; people with illnesses)(people with illnesses; desires; treat diseases)(treat diseases; causes; feel better)(feel better; has subevent; validation of cannabis)(validation of cannabis; has property; should be legalized)
Olympic games bring countries together	the Olympic games will not help tear apart national relationships	support	(olympic games; used for; unity)(unity; used for; national relationships)(national relationships; receives action; bring countries together)(bring countries together; causes; harmony)
Enemies don't always get caught easily	Sometimes enemies elude capture.	support	(enemies; capable of; elude capture)(elude capture; antonym of; caught easily)(caught easily; not capable of; get away)
The Olympics bring countries together and should not be abolished	Many countries will participate in the Olympics	support	(olympics; is a; global event)(global event; has property; many countries)(global event; not desires; abolished)
targeted killings should not be allowed.	Targeted killings are more efficient.	counter	(targeted killings; has property; moral)(moral; created by; efficient)(efficient; used for; terrorist)(efficient; receives action; allowed)
Olympic is one of the world festival watched by millions of people	Most people watch olympic games  because it is a festival that showcases almost every game	support	(society; desires; festival)(festival; has subevent; showcases)(showcases; has subevent; every game)(every game; receives action; watched by millions)(watched by millions; desires; continuation of olympics)(continuation of olympics; has subevent; world unity)
Targeted killing should not be used.	Targeted killing violates civil liberties.	support	(targeted killing; has property; violates civil liberties)(violates civil liberties; has property; unconstitutional)(unconstitutional; desires; not be used)
The Olympics are rather superfluous	Television records show millions of people watching it	counter	(millions of people; desires; the olympics)(the olympics; receives action; people watching it)(people watching it; not has property; superfluous)(superfluous; not has context; television records)(television records; used for; show olympics' relevance)
targeted killing should not exist.	Targeted killing is not popular for some.	support	(targeted killing; used for; killing suspects)(killing suspects; is a; subjective killing)(subjective killing; is a; not popular)(not popular; capable of; dangerous)(dangerous; desires; not exist)
Abortion is wrong.	All human beings deserve to be born.	support	(human beings; part of; life)(life; has property; precious)(precious; part of; human birth)(human birth; not desires; abortion)(abortion; antonym of; be born)(be born; has context; a human consciousness)(a human consciousness; receives action; killed)(killed; is a; wrong)
The Olympic Games are a waste of resources	The Olympics are not a bad way to take political pressures off for a short time.	counter	(olympic games; created by; resources)(resources; causes; entertainment)(entertainment; capable of; good distraction)(good distraction; used for; short time)(short time; not desires; political pressures)
The Olympic games are a waste of money and space	The Olympic games are viewed by millions of people all over the world	counter	(the olympic games; receives action; viewed by)(viewed by; has context; millions of people)(millions of people; at location; over the world)(millions of people; capable of; get entertainment)(over the world; capable of; explore more spaces)(explore more spaces; used for; olympic venues)(get entertainment; not causes; waste of money)(olympic venues; not causes; waste of space)
Athletes need a goal and olympic games afford them a worthy aim.	Top athletes work hard when they emulate ancient Greek players in contests.	support	(athletes; capable of; work hard)(work hard; desires; a goal)(athletes; desires; competition)(olympic games; is a; competition)
as a last resort target killing may be necessary	if there is no target killing bad people could get away and innocents could be in danger	support	(no target killing; causes; bad people)(bad people; capable of; get away)(no target killing; causes; innocents in danger)(get away; desires; last resort)(innocents in danger; desires; last resort)(last resort; has subevent; target killing)(target killing; is a; important)
By abolishing the Olympics we take inspiration from the athletes.	the Olympics have always attracted athletes, therefore we discourage them by abolishing them.	support	(olympics; has subevent; attracted athletes)(attracted athletes; created by; inspiration)(inspiration; not desires; discourage)(discourage; part of; abolishing the olympics)
Innocent people do not deserve to die.	State sponsored killing can harm innocents.	support	(state sponsored killing; capable of; collateral damage)(collateral damage; made of; innocent people)(innocent people; not desires; harm)(harm; has context; not deserve)
The games aren't a big deal anymore like they used to be.	The money generated by games doesn't provide enough so players often can't afford to live.	support	(the games; not capable of; money generated)(players; not capable of; afford to live)(the games; not capable of; high profile)(high profile; synonym of; big deal)(players; part of; the games)
The Olympics are pase.	The Olympics are still enjoyed by many.	counter	(the olympics; is a; tradition)(the olympics; capable of; enjoyed by many)(enjoyed by many; is not a; pase)
